"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Cornejo-Rigaud, A.; Estela, N.; Paredes, M.; Delgado, P.M.; Mertins, O.; Tavares-Dias, M.; Fernandez-Mendez, C.; Gonzales, A.F.","Cornejo-Rigaud, Alexandra (60089645500); Estela, Noelia (60089645600); Paredes, Marian (59150796900); Delgado, Patrick Mathews (57215486392); Mertins, Omar (9243953100); Tavares-Dias, Marcos (16200039400); Fernandez-Mendez, Christian (57094101100); Gonzales, Anai Flores (57208723388)","60089645500; 60089645600; 59150796900; 57215486392; 9243953100; 16200039400; 57094101100; 57208723388","Anthelmintic efficacy of ethanolic extracts from two Jatropha species against monogenean gill parasites and hematological and histopathological effects on Piaractus brachypomus","2025","Veterinary Parasitology","340","","110601","","","0","0","10.1016/j.vetpar.2025.110601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015347631&doi=10.1016%2Fj.vetpar.2025.110601&partnerID=40&md5=6533478fc4a05e713cd45dba216a939d","Article","Final","","Scopus","2-s2.0-105015347631"
"Friedrichsen, J.S.A.; Ferreira de Campos, T.A.F.; da Silva, N.M.; da Silva Dos Santos, P.D.; de Souza Zangirolami, M.; Raspe, D.T.; Da Silva, C.; Santos-Junior, O.O.","Friedrichsen, Jéssica Souza A.Alves (58816959100); Ferreira de Campos, Talita Aparecida (57762132100); da Silva, Natallya Marques (58109359000); da Silva Dos Santos, Patrícia Daniele (57208752762); de Souza Zangirolami, Marcela (57843748200); Raspe, Djéssica Tatiane (55946294100); Da Silva, C. (8954721200); Santos-Junior, Oscar De Oliveira (57730712000)","58816959100; 57762132100; 58109359000; 57208752762; 57843748200; 55946294100; 8954721200; 57730712000","Valorization of Jabuticaba (Plinia peruviana) peel: A comparative approach to extractions of bioactive compounds using sustainable techniques and solvents","2025","Food Chemistry","494","","146152","","","0","0","10.1016/j.foodchem.2025.146152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014545288&doi=10.1016%2Fj.foodchem.2025.146152&partnerID=40&md5=4f2b670893b28328edc8d5fdebb8c8ca","Article","Final","","Scopus","2-s2.0-105014545288"
"Wang, X.; Anwar, T.; Qureshi, H.; El-Beltagi, H.S.; Sehar, Z.; Solieva, D.; Azizov, B.; Rebouh, N.Y.; Abbasov, M.A.; Yakubov, F.; Alomran, M.M.","Wang, Xueqin (60055608000); Anwar, T. (57210665290); Qureshi, Huma I. (7006291309); El-Beltagi, Hossam Saad (26656704600); Sehar, Zobia (58641593200); Solieva, Dilafruz (59225950500); Azizov, Bakhrom M. (59983201700); Rebouh, Nazih Y. (57194940723); Abbasov, Mehraj Ali (6602534299); Yakubov, Farrukh (57222613512); Alomran, Maryam Mohammed (57209009196)","60055608000; 57210665290; 7006291309; 26656704600; 58641593200; 59225950500; 59983201700; 57194940723; 6602534299; 57222613512; 57209009196","Plant-based traditional remedies and their role in public health: ethnomedicinal perspectives for a growing population","2025","Journal of Health, Population and Nutrition","44","1","300","","","0","1","10.1186/s41043-025-01036-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013752032&doi=10.1186%2Fs41043-025-01036-5&partnerID=40&md5=6b874de841bc44e4d606eaa443836803","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105013752032"
"de Oliveira Melchior, M.; Magri, L.V.; Dí́az-Serrano, K.V.; Junior, E.B.C.; Fregni, F.; Pacheco-Barrios, K.; Lacchini, R.; Leite-Panissi, C.R.A.; Gherardi-Donato, E.C.S.","de Oliveira Melchior, Melissa (23980725500); Magri, Laís Valencise (56111234500); Dí́az-Serrano, Kranya Victória (15046487900); Junior, Elton Brás Camargo (60030687600); Fregni, Felipe F. (57209478889); Pacheco-Barrios, Kevin (57201981698); Lacchini, Riccardo (34977033500); Leite-Panissi, Christie Ramos Andrade Leite (6508114494); Gherardi-Donato, Edilaine Cristina da Silva (42661356200)","23980725500; 56111234500; 15046487900; 60030687600; 57209478889; 57201981698; 34977033500; 6508114494; 42661356200","Impact of a Mindfulness-Based Intervention on Pain and Psychological Factors in Women With Chronic Painful Temporomandibular Disorders","2025","Journal of Oral Rehabilitation","52","12","","2269","2281","0","1","10.1111/joor.70028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012582806&doi=10.1111%2Fjoor.70028&partnerID=40&md5=ab1e6336a7f61184fc7b8608f07a4d4a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012582806"
"Eslami-Farouji, A.; Haerinasab, M.; Bussmann, R.W.; Malca-García, G.R.","Eslami-Farouji, Atena (57215024538); Haerinasab, Maryam (57189497874); Bussmann, Rainer W. (6603001909); Malca-García, Gonzalo R. (36337900200)","57215024538; 57189497874; 6603001909; 36337900200","Ethnobotanical and pharmacological uses, along with phytochemical aspects, of Trifolium pratense and T. repens (Fabaceae): global and local perspectives in Iran","2025","Genetic Resources and Crop Evolution","72","8","","10157","10183","0","0","10.1007/s10722-025-02556-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011343993&doi=10.1007%2Fs10722-025-02556-z&partnerID=40&md5=bd8cbd43d635037cae182fe392af1815","Article","Final","","Scopus","2-s2.0-105011343993"
"Aneja, D.; Debnath, M.; Darbari, P.; Rathi, R.; Khan, I.U.; Komal, n.; Sharma, K.N.; Geneva, M.","Aneja, Dikshita (59202983700); Debnath, Mousumi (22933645900); Darbari, Priyasha (59917657500); Rathi, Radhika (58017240200); Khan, Ishan Ullah (57194827133); Komal, n. (59324643800); Sharma, Kamal Nayan (57210505677); Geneva, Maria Prokopova (15053098500)","59202983700; 22933645900; 59917657500; 58017240200; 57194827133; 59324643800; 57210505677; 15053098500","The Emerging Superfruit: Physalis peruviana's Role in Revolutionizing the Nutraceutical and Food Industries","2025","Current Nutrition Reports","14","1","73","","","0","0","10.1007/s13668-025-00659-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006824887&doi=10.1007%2Fs13668-025-00659-8&partnerID=40&md5=cff731325d79aaaa1bca67f588aec501","Review","Final","","Scopus","2-s2.0-105006824887"
"Tarabasz, D.; Okoń, E.; Wawruszak, A.; Beteinakis, S.; Angelis, A.; Meissner, H.O.; Skaltsounis, L.A.; Kukula-Koch, W.","Tarabasz, Dominik (57210934891); Okoń, Estera (56086338500); Wawruszak, Anna (57112485200); Beteinakis, Stavros (57218240031); Angelis, Apostolis (55410511000); Meissner, Henry O. (56583699600); Skaltsounis, Leandros Alexios (57192411823); Kukula-Koch, Wirginia A. (55203609700)","57210934891; 56086338500; 57112485200; 57218240031; 55410511000; 56583699600; 57192411823; 55203609700","Purification of Lepidilines A, B, C, and D from Lepidium meyenii Walpers by Centrifugal Partition Chromatography Followed by Semi-Preparative HPLC and Preliminary Evaluation of Anticancer Activity Against Neuroblastoma Cell Lines","2025","Molecules","30","22","4360","","","0","0","10.3390/molecules30224360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022931337&doi=10.3390%2Fmolecules30224360&partnerID=40&md5=9b07227cf71cdfb4818bcdd3342fc00a","Article","Final","","Scopus","2-s2.0-105022931337"
"R.; Pérez-Vásquez, R.; Pasquel Reátegui, J.L.; Coronado Jorge, M.F.; Vidaurre-Rojas, P.; Cárdenas-García, Á.; Sánchez-Dávila, K.; K.","; Pérez-Vásquez, Roifer (59701499400); Pasquel Reátegui, José Luis (56367995000); Coronado Jorge, Manuel Fernando (56943413400); Vidaurre-Rojas, Pierre (60039042500); Cárdenas-García, Ángel (58637246300); Sánchez-Dávila, Keller (58180801300)","60210587800; 59701499400; 56367995000; 56943413400; 60039042500; 58637246300; 58180801300; 60211338600","Multi-Response Modeling for Bio-Compound Ultrasound-Assisted Extraction (UAE) from Matico (Piper aduncum L.) and Chacruna (Psychotria viridis Ruiz & Pav.) Leaves Originating in the Peruvian Amazon","2025","Molecules","30","22","4395","","","0","0","10.3390/molecules30224395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022882568&doi=10.3390%2Fmolecules30224395&partnerID=40&md5=3f1e45fd0dc61cc67e0cc8ff58a504b8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022882568"
"Muñoz-Guerra, K.M.; Arévalo-Ramírez, D.J.; Mostacero-León, J.; Martínez, J.L.; De La Cruz-Castillo, A.J.; Lopéz-Medina, S.E.; Gil-Rivero, A.E.; Alvarez-Carrasco, M.A.; Vela-Urbina, G.J.; Ugarte-López, W.; León-Torres, C.A.; Alarcón-Rojas, N.M.; Gonzales Velásquez, C.L.Y.","Muñoz-Guerra, Kassandra M. (60201030800); Arévalo-Ramírez, Dulcemaría J. (60201235300); Mostacero-León, José (59654090000); Martínez, José Luis Luis (56312463700); De La Cruz-Castillo, Anthony J. (57209297412); Lopéz-Medina, Eloy Eloy (57200336833); Gil-Rivero, Armando E. (57212600598); Alvarez-Carrasco, Miguel A. (60201844300); Vela-Urbina, Glenda Judy (59396627900); Ugarte-López, Wilmer (58848777200); León-Torres, Carlos Alberto (57204040542); Alarcón-Rojas, Narda M. (57209292634); Gonzales Velásquez, Carmen Lizbeth Yurac (59548415900)","60201030800; 60201235300; 59654090000; 56312463700; 57209297412; 57200336833; 57212600598; 60201844300; 59396627900; 58848777200; 57204040542; 57209292634; 59548415900","Ethnobotany of the medicinal plants used by the inhabitants of Guadalupe, La Libertad, Perú; Etnobotánica de las plantas medicinales utilizadas por los pobladores de Guadalupe, La Libertad, Perú","2025","Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","24","6","","960","986","0","0","10.37360/blacpma.25.24.6.64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022313907&doi=10.37360%2Fblacpma.25.24.6.64&partnerID=40&md5=9b103133495cd9b447a468aeba6fc70a","Article","Final","","Scopus","2-s2.0-105022313907"
"Burga Campos, C.W.; Sánchez Altamirano, F.R.; Feria Hernández, M.D.; Ávalos Hubeck, J.A.; Chavez-Espinoza, O.; Arévalo Reátegui, J.","Burga Campos, Cecil Wilmer (60201627200); Sánchez Altamirano, Fernando Rogelio (57764623700); Feria Hernández, Melissa Dalila (60201016500); Ávalos Hubeck, Juan Alberto (60201221200); Chavez-Espinoza, Oscar (59698156800); Arévalo Reátegui, Julio (57943643100)","60201627200; 57764623700; 60201016500; 60201221200; 59698156800; 57943643100","Contribution of medicinal flora to community health: perceptions and practices in native communities; Contribución de la flora medicinal a la salud comunitaria: percepciones y conocimiento en comunidades nativas","2025","Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","24","6","","1034","1046","0","0","10.37360/blacpma.25.24.6.70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022293216&doi=10.37360%2Fblacpma.25.24.6.70&partnerID=40&md5=4e6f05945931a693d1545d4298626c12","Article","Final","","Scopus","2-s2.0-105022293216"
"Puca-Pacheco, M.; Neira-Velázquez, M.G.; Canché-Escamilla, G.; Ascue-Caballero, M.; Girao-Sánchez, A.A.; Tacuri-Puca, C.A.","Puca-Pacheco, Mercedes (60191968700); Neira-Velázquez, María Guadalupe (23397662900); Canché-Escamilla, Gonzalo (6602340197); Ascue-Caballero, Melanie (60191838100); Girao-Sánchez, Alvaro Adrian (60191770200); Tacuri-Puca, César Augusto (60191838200)","60191968700; 23397662900; 6602340197; 60191838100; 60191770200; 60191838200","Preparation and Characterization of Bioplastics Based on Sweet Potato Peel Starch, Aloe vera and Eucalyptus Oil","2025","Polymers","17","21","2950","","","0","0","10.3390/polym17212950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021593718&doi=10.3390%2Fpolym17212950&partnerID=40&md5=cf35baf942a6d82ff05a8e66020b1d46","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105021593718"
"Fernández Rosillo, F.; Aguirre, E.; Quiñones Huatangari, L.; Chavez, S.G.; Caetano, A.C.; Iliquin-Chávez, A.F.; Silva-Zuta, M.Z.; Castro-Alayo, E.M.; Balcázar-Zumaeta, C.R.","Fernández Rosillo, Frank (58259277100); Aguirre, Elza (57216417703); Quiñones Huatangari, Lenin (57219800991); Chavez, Segundo G. (57214896173); Caetano, Aline Camila (55207503600); Iliquin-Chávez, Angel F. (58567744000); Silva-Zuta, Miguelina Z. (58564325900); Castro-Alayo, Efraín M. (57205580984); Balcázar-Zumaeta, César R. (57220931821)","58259277100; 57216417703; 57219800991; 57214896173; 55207503600; 58567744000; 58564325900; 57205580984; 57220931821","Discovering the Bioactive and Antibacterial Potential of Essential Oils from Aromatic Plants of Northeastern Peru","2025","Molecules","30","21","4236","","","0","0","10.3390/molecules30214236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021408510&doi=10.3390%2Fmolecules30214236&partnerID=40&md5=7342d0b65bc768402f2f1aeb4ee69802","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105021408510"
"Valencia, J.G.G.; Casanova, E.A.V.; Hajdu, Z.; Pósito, G.S.G.; Benaute, C.N.S.; Díaz, R.J.A.; Gálvez, K.A.C.; Lau, L.O.A.; Reyes, F.T.C.; Penadillos, R.A.R.; López, F.R.R.; Albuquerque, R.D.D.G.","Valencia, José Gilberto Gavídia (60113021800); Casanova, Edmundo Arturo Venegas (60113515700); Hajdu, Zsanett S. (54885552700); Pósito, Gladys Silvia Gonzáles (60114194100); Benaute, Carlos Naval Sopán (60114021600); Díaz, Ruben Jesus Aro (60113021900); Gálvez, Keila Alina Castro (60114194200); Lau, Luisa Olivia Amaya (60113022000); Reyes, Francisco Tito Cerna (60113022100); Penadillos, Roger Antonio Rengifo (60113515800); López, Felipe Rubén Rubio (60113683000); Albuquerque, Ricardo Diego Duarte Galhardo de (58499204400)","60113021800; 60113515700; 54885552700; 60114194100; 60114021600; 60113021900; 60114194200; 60113022000; 60113022100; 60113515800; 60113683000; 58499204400","A recent review on the traditional use, phytochemical constituents, and pharmacological activity of Vitis vinifera L. (Vitaceae)","2025","Journal of Applied Biology and Biotechnology","13","6","","5","20","0","0","10.7324/JABB.2025.244884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017068856&doi=10.7324%2FJABB.2025.244884&partnerID=40&md5=af7db36638c4043e4c622f546b4a6ce8","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105017068856"
"León, J.R.H.; Serrano, G.C.; Mora, D.S.; Samaniego Joaquin, J.W.S.; Siesquen, J.S.","León, Jenny Rosalyn Huerta (59206259900); Serrano, Gerson Córdova (59959392400); Mora, Dolin Silva (60199621200); Samaniego Joaquin, Jhonnel Williams (59206260700); Siesquen, Javier Sánchez (59959723300)","59206259900; 59959392400; 60199621200; 59206260700; 59959723300","Antibacterial Activity of Vaccinium floribundum and Bacharis linearifolia Extracts against Escherichia coli; Acción antibacteriana del extracto de Vaccinium floribundum y Bacharis linearifolia frente a Escherichia coli","2025","Revista Cubana de Medicina Militar","54","4","e025076433","","","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022170373&partnerID=40&md5=7cc29a0b2a5520280bb3a32da36b8ba6","Article","Final","","Scopus","2-s2.0-105022170373"
"Takahashi, C.M.; Poemape-Lira, J.E.","Takahashi, Carolina Mayo (59205899800); Poemape-Lira, Jorge Eduardo (60198214100)","59205899800; 60198214100","Antimicrobial potential of medicinal plants for urinary tract infections: an alternative to synthetic antibiotics; Potencial antimicrobiano de plantas medicinales en el tratamiento de infecciones urinarias: una alternativa a los antibióticos sintéticos","2025","Revista Cubana de Medicina Militar","54","4","e025076663","","","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022085300&partnerID=40&md5=fd06080bf392b8b1eb56adc1682aa3b3","Review","Final","","Scopus","2-s2.0-105022085300"
"Jara-Herrera, C.; Albuquerque, R.D.D.G.; León-Vargas, F.R.; Ramos-Rivas, Y.V.S.; Souza-Nájar, R.I.; del Águila, C.P.C.","Jara-Herrera, Cleto (58767670200); Albuquerque, Ricardo Diego Duarte Galhardo de (58499204400); León-Vargas, Frank R. (57934272100); Ramos-Rivas, Yessenia Vanessa Sherrezade (59657761600); Souza-Nájar, Rosa Isabel (60047174300); del Águila, Carmen Patrícia Cerdeña (60047258400)","58767670200; 58499204400; 57934272100; 59657761600; 60047174300; 60047258400","Chemistry and pharmacology of Vismia macrophylla and Solanum americanum: Amazonian species used for cutaneous diseases","2025","Natural Resources for Human Health","5","4","","678","685","0","0","10.53365/nrfhh/206023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013174927&doi=10.53365%2Fnrfhh%2F206023&partnerID=40&md5=9739f0cb7628288a4ed6735d2daa4f2a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013174927"
"Badell, C.S.; Ponce-Ponte, O.J.; Ruíz, E.F.","Badell, Camila Sofía (59531119700); Ponce-Ponte, Oscar J. (59962720300); Ruíz, Eloy Francisco (58070384800)","59531119700; 59962720300; 58070384800","Tea and Tablets: What I Learned About Healing in Chupuro, Peru","2025","Journal of the American Geriatrics Society","73","10","","3259","3260","0","0","10.1111/jgs.19597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009275649&doi=10.1111%2Fjgs.19597&partnerID=40&md5=c5083a23ecf3624c42090f9ebc02025b","Note","Final","","Scopus","2-s2.0-105009275649"
"Huaccho-Rojas, J.; Suarez Hernandez, T.C.; Solano Garay, G.J.; Lens-Sardón, L.","Huaccho-Rojas, Juan Jesús (56515281900); Suarez Hernandez, Thalia Camila (60204426400); Solano Garay, Giancarlo Jesus (60204494100); Lens-Sardón, Luis F. (58136062800)","56515281900; 60204426400; 60204494100; 58136062800","EVALUATION OF THE PHARMACOLOGICAL INTERACTION BETWEEN THE HYDROALCOHOLIC EXTRACT OF BLECHNUM ASPLENIOIDES “CUTI CUTI” AND METFORMIN IN HYPERGLYCEMIC ALBINO RATS; EVALUACIÓN DE LA INTERACCIÓN FARMACOLÓGICA ENTRE EL EXTRACTO HIDROALCOHÓLICO DE BLECHNUM ASPLENIOIDES “CUTI CUTI” Y METFORMINA EN RATAS ALBINAS HIPERGLUCÉMICAS","2025","Revista de la Facultad de Medicina Humana","25","3","","61","69","0","0","10.25176/RFMH.v25i3.7357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022496650&doi=10.25176%2FRFMH.v25i3.7357&partnerID=40&md5=0526983801def2d1ec7fe30935ca9ee8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022496650"
